,COLE_NOMBRE_ESTABLECIMIENTO,COLE_NATURALEZA,COLE_AREA_UBICACION,COLE_DEPTO_UBICACION,ESTU_TIENEETNIA,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,FAMI_NUMLIBROS,conectividad,alimentacion,ESTU_HORASSEMANATRABAJA,PUNT_GLOBAL
6556,INST HENAO Y ARRUBLA,1,1,BOGOTÁ,0.0,3.0256410256410255,4.435897435897436,0.7948717948717948,0.9743589743589743,5.153846153846154,12.76923076923077,40.64102564102564,1.0,0.9230769230769231,0.8461538461538461,286.7435897435897
6557,INST IMMANUEL KANT(ANTES LIC COLOMBO LATINO),1,1,META,0.0,2.9375,3.4583333333333335,0.7083333333333334,0.7291666666666666,4.5625,11.5,30.416666666666668,0.9166666666666666,0.7291666666666666,0.5625,230.91666666666666
6558,INST INFANTIL Y JUVENIL,1,1,BOGOTÁ,0.0,2.768292682926829,3.658536585365854,0.7682926829268293,0.8536585365853658,5.487804878048781,11.963414634146341,42.4390243902439,1.0,0.8536585365853658,0.8414634146341463,309.1219512195122
6559,INST INGABO SEDE RESTREPO,1,1,BOGOTÁ,0.03571428571428571,2.6785714285714284,3.7142857142857144,0.75,0.5714285714285714,3.4285714285714284,12.0,31.428571428571427,0.9285714285714286,0.8214285714285714,0.4642857142857143,237.57142857142858
6560,INST INTEGD SAN BERNARDO,0,1,SANTANDER,0.0,2.0843373493975905,4.0602409638554215,0.43373493975903615,0.5421686746987951,4.9156626506024095,9.795180722891565,23.19277108433735,0.8674698795180723,0.6626506024096386,0.6626506024096386,268.48192771084337
6561,INST INTEGRADO DE SUBA,1,1,BOGOTÁ,0.0,2.1904761904761907,3.5714285714285716,0.47619047619047616,0.5238095238095238,5.142857142857143,7.857142857142857,26.428571428571427,0.9047619047619048,0.5714285714285714,0.5238095238095238,232.61904761904762
6562,INST IP EDUCANDO LA JUVENTUD FUTURO DE COLOMBIA,1,1,BOGOTÁ,0.0,2.7857142857142856,3.9285714285714284,0.5714285714285714,0.5714285714285714,3.107142857142857,12.857142857142858,39.82142857142857,0.9285714285714286,0.7142857142857143,0.6071428571428571,228.5
6563,INST JERUSALEN,1,1,BOGOTÁ,0.0,2.076923076923077,3.0,0.38461538461538464,0.6923076923076923,4.615384615384615,11.76923076923077,38.07692307692308,0.9230769230769231,0.8461538461538461,0.46153846153846156,288.0769230769231
6564,INST JORGE ELIECER GAITAN,1,1,NARIÑO,0.0,1.84,4.2,0.38,0.42,3.72,9.6,28.9,0.82,0.62,0.34,226.62
6565,INST JORGE ROBLEDO,1,1,ANTIOQUIA,0.0,4.28,3.12,0.92,1.0,4.98,13.26,64.9,1.0,1.0,0.96,335.42
6566,INST JOSE ANTONIO GALAN,0,1,SANTANDER,0.0,1.8775510204081634,4.346938775510204,0.30612244897959184,0.5102040816326531,5.6938775510204085,9.73469387755102,22.551020408163264,0.8163265306122449,0.5102040816326531,0.6530612244897959,284.2040816326531
6567,INST JOSE CELESTINO MUTIS,1,1,NORTE SANTANDER,0.0,1.8857142857142857,3.857142857142857,0.2857142857142857,0.5142857142857142,5.228571428571429,7.114285714285714,26.857142857142858,0.6571428571428571,0.5142857142857142,0.4857142857142857,240.88571428571427
6568,INST JOSE MARTINEZ RUIZ,1,1,BOGOTÁ,0.16129032258064516,3.0,3.838709677419355,0.6451612903225806,0.8064516129032258,5.709677419354839,13.258064516129032,48.064516129032256,1.0,0.8709677419354839,0.7096774193548387,262.5806451612903
6569,INST LA CUMBRE,0,1,SANTANDER,0.0,1.6363636363636365,4.333333333333333,0.3106060606060606,0.44696969696969696,5.181818181818182,10.840909090909092,21.060606060606062,0.8636363636363636,0.5984848484848485,0.6742424242424242,260.8939393939394
6570,INST LABERINTO DE LA CULTURA,1,1,BOGOTÁ,0.0,2.0,5.181818181818182,0.36363636363636365,0.45454545454545453,3.5454545454545454,9.272727272727273,38.18181818181818,1.0,0.6363636363636364,0.8181818181818182,257.45454545454544
6571,INST LEONARD EULER,1,1,BOGOTÁ,0.0,2.1333333333333333,4.866666666666666,0.8,0.6666666666666666,4.8,9.4,29.0,0.9333333333333333,0.6666666666666666,0.4666666666666667,247.46666666666667
6572,INST MADRE DEL BUEN CONSEJO,0,1,SANTANDER,0.0,2.36,4.1,0.51,0.72,5.13,11.61,30.4,0.9,0.72,0.73,283.15
6573,INST MARLIAN,1,1,MAGDALENA,0.0,2.0,3.56,0.72,0.96,8.16,11.4,44.8,0.76,0.8,0.76,298.16
6574,INST MARSELLA,1,1,BOGOTÁ,0.0,3.24,3.48,0.84,0.92,5.52,12.84,49.4,0.96,0.96,0.84,295.64
6575,INST MAYEUTICO,1,1,BOGOTÁ,0.0,3.111111111111111,3.3703703703703702,0.7037037037037037,0.8148148148148148,4.777777777777778,12.88888888888889,49.25925925925926,1.0,0.9259259259259259,0.8888888888888888,285.0740740740741
