,COLE_NOMBRE_ESTABLECIMIENTO,COLE_NATURALEZA,COLE_AREA_UBICACION,COLE_DEPTO_UBICACION,ESTU_TIENEETNIA,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,Educacion_padres,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,FAMI_NUMLIBROS,conectividad,alimentacion,ESTU_HORASSEMANATRABAJA,PUNT_GLOBAL
606,COL CIUDAD DE FOMEQUE,1,1,BOGOTÁ,5.555555555555555,2.111111111111111,3.888888888888889,61.111111111111114,6.0,8.5,33.05555555555556,94.44444444444444,83.33333333333334,16.666666666666664,266.05555555555554
607,COL CIUDAD DE YUMBO,1,1,VALLE,0.0,2.272727272727273,3.0,81.81818181818183,5.7272727272727275,14.727272727272727,24.09090909090909,100.0,72.72727272727273,18.181818181818183,220.54545454545453
608,COL CIUDAD PATIO BONITO,1,1,BOGOTÁ,4.597701149425287,2.1724137931034484,3.8275862068965516,81.60919540229885,4.620689655172414,11.172413793103448,34.770114942528735,96.55172413793103,71.26436781609196,21.839080459770116,254.27586206896552
609,COL CLARETIANO,1,1,BOGOTÁ,0.33003300330033003,2.4158415841584158,3.726072607260726,91.74917491749174,5.0495049504950495,11.108910891089108,46.28712871287129,96.69966996699671,83.4983498349835,11.55115511551155,279.95379537953795
610,COL CLARETIANO DE CUCUTA,1,1,NORTE SANTANDER,0.0,2.0555555555555554,3.888888888888889,94.44444444444444,7.0,11.166666666666666,38.611111111111114,94.44444444444444,77.77777777777779,33.33333333333333,298.44444444444446
611,COL CLARETIANO EL LIBERTADOR,1,1,BOGOTÁ,0.0,2.526315789473684,4.2105263157894735,94.73684210526315,5.052631578947368,11.368421052631579,35.13157894736842,94.73684210526315,73.68421052631578,34.21052631578947,262.94736842105266
612,COL CLASICO CIUDAD DE CUCUTA,1,1,NORTE SANTANDER,0.0,1.5925925925925926,4.185185185185185,48.148148148148145,6.555555555555555,10.333333333333334,17.59259259259259,74.07407407407408,55.55555555555556,25.925925925925924,237.44444444444446
613,COL CLAUDIA MARIA PRADA AYALA,0,1,NORTE SANTANDER,0.0,1.3125,4.525,46.25,5.5125,7.95,21.75,50.0,40.0,26.25,246.975
614,COL CLAUSTRO MODERNO,1,1,BOGOTÁ,0.0,4.173913043478261,3.130434782608696,100.0,5.3478260869565215,13.826086956521738,69.02173913043478,100.0,97.82608695652173,10.869565217391305,327.45652173913044
615,COL CLUB DE LEONES,0,0,NORTE SANTANDER,0.0,1.816326530612245,4.26530612244898,59.183673469387756,4.775510204081633,11.326530612244898,25.510204081632654,77.55102040816327,59.183673469387756,24.489795918367346,257.7142857142857
616,COL CLUB DE LEONES,0,1,NORTE SANTANDER,0.0,1.5,4.0,50.0,5.0,10.5,25.833333333333332,83.33333333333334,50.0,25.0,269.4166666666667
617,COL COFRATERNIDAD DE SAN FERNANDO,1,1,BOGOTÁ,0.0,2.0476190476190474,3.8095238095238093,83.33333333333334,6.642857142857143,11.285714285714286,34.166666666666664,97.61904761904762,85.71428571428571,7.142857142857142,266.6666666666667
618,COL COLOMBO BRIGHTON,1,1,BOGOTÁ,0.0,2.6666666666666665,4.333333333333333,100.0,5.0,15.0,35.0,100.0,100.0,16.666666666666664,240.83333333333334
619,COL COLOMBO FLORIDA BILINGÜE,1,1,BOGOTÁ,0.0,2.6956521739130435,3.260869565217391,100.0,5.739130434782608,11.347826086956522,71.08695652173913,100.0,95.65217391304348,4.3478260869565215,303.0
620,COL COLOMBO HISPANO,1,0,CUNDINAMARCA,0.0,2.56,3.8,92.0,5.28,11.04,44.4,100.0,84.0,32.0,292.48
621,COL COLOMBO INTERNACIONAL ACOINPREV,1,1,BOGOTÁ,5.405405405405405,2.2432432432432434,4.675675675675675,91.8918918918919,5.756756756756757,11.35135135135135,48.513513513513516,100.0,83.78378378378379,24.324324324324326,261.4864864864865
622,COL COLOMBO IRLANDES,1,0,CUNDINAMARCA,0.0,2.5833333333333335,4.0,100.0,3.5,10.75,36.666666666666664,91.66666666666666,83.33333333333334,25.0,251.75
623,COL COLOMBO JAPONES,1,1,BOGOTÁ,0.0,1.875,3.25,75.0,1.5,11.25,33.75,100.0,100.0,0.0,280.75
624,COL COMFANORTE,1,1,NORTE SANTANDER,0.6097560975609756,2.2439024390243905,3.6097560975609757,70.1219512195122,4.646341463414634,9.128048780487806,29.23780487804878,75.0,67.07317073170732,39.02439024390244,247.8780487804878
625,COL COMFATOLIMA,1,1,TOLIMA,0.0,2.6941176470588237,3.235294117647059,96.47058823529412,4.482352941176471,10.729411764705882,42.588235294117645,98.82352941176471,81.17647058823529,16.470588235294116,282.78823529411767
626,COL COMFENALCO,1,1,TOLIMA,0.0,2.4444444444444446,3.4444444444444446,100.0,4.666666666666667,11.333333333333334,29.444444444444443,100.0,88.88888888888889,44.44444444444444,288.77777777777777
627,COL COMPUSOCIAL,1,1,ANTIOQUIA,6.122448979591836,2.2755102040816326,4.163265306122449,62.244897959183675,4.010204081632653,10.346938775510203,19.540816326530614,82.6530612244898,57.14285714285714,46.93877551020408,213.0
628,COL COMUNIT NOCT DE BACHILLERATO LA LIBERTAD,1,1,BOGOTÁ,10.0,1.9,4.6,40.0,4.2,10.8,19.0,90.0,70.0,30.0,242.7
629,COL COMUNITARIO  TEC IND. UNIDAD BOLIVARIANA,1,1,VALLE,0.0,1.6666666666666667,4.0,66.66666666666666,3.0,9.5,27.5,100.0,83.33333333333334,16.666666666666664,252.16666666666666
630,COL COOP CANAPRONORT,1,1,NORTE SANTANDER,0.0,1.0,3.0,0.0,4.5,9.0,50.0,50.0,0.0,50.0,263.0
631,COL COOP COMERCIAL,1,1,CUNDINAMARCA,0.0,2.6363636363636362,2.8181818181818183,90.9090909090909,5.181818181818182,12.0,72.72727272727273,100.0,81.81818181818183,36.36363636363637,307.45454545454544
632,COL COOP COMGIRARDOT,1,1,CUNDINAMARCA,0.0,2.4,3.7,95.0,3.3,11.55,23.75,95.0,85.0,20.0,220.95
633,COL COOP COMUNAL SAN BLAS,1,1,BOGOTÁ,0.0,2.090909090909091,4.454545454545454,81.81818181818183,6.545454545454546,11.727272727272727,52.27272727272727,90.9090909090909,100.0,9.090909090909092,245.27272727272728
634,COL COOP COOSERVICIOS,1,1,BOYACA,0.0,2.744186046511628,3.2790697674418605,90.69767441860465,4.325581395348837,9.55813953488372,39.06976744186046,90.69767441860465,81.3953488372093,25.581395348837212,286.3255813953488
635,COL COOP DE BUCARAMANGA,1,1,SANTANDER,0.0,2.782608695652174,3.9565217391304346,91.30434782608695,4.695652173913044,14.08695652173913,26.52173913043478,100.0,78.26086956521739,26.08695652173913,250.17391304347825
636,COL COOP DE LOS ALAMOS,1,1,BOGOTÁ,0.0,2.7260273972602738,3.4657534246575343,91.78082191780823,5.835616438356165,12.04109589041096,48.49315068493151,100.0,90.41095890410958,15.068493150684931,290.0821917808219
637,COL COOP DE LOS COMUNEROS,1,1,TOLIMA,0.0,2.5,4.666666666666667,50.0,5.0,11.0,32.5,83.33333333333334,83.33333333333334,66.66666666666666,199.83333333333334
638,COL COOP DE TIMIZA,1,1,BOGOTÁ,0.0,2.9183673469387754,3.5714285714285716,91.83673469387756,5.448979591836735,12.551020408163266,42.142857142857146,97.95918367346938,91.83673469387756,14.285714285714285,286.3265306122449
639,COL COOP DEL MAGISTERIO DE CUNDINAMARCA,1,1,BOGOTÁ,0.0,2.7,4.2,86.66666666666667,4.4,13.1,49.5,100.0,83.33333333333334,10.0,281.3666666666667
