,COLE_NOMBRE_ESTABLECIMIENTO,COLE_NATURALEZA,COLE_AREA_UBICACION,COLE_DEPTO_UBICACION,ESTU_TIENEETNIA,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,FAMI_NUMLIBROS,conectividad,alimentacion,ESTU_HORASSEMANATRABAJA,PUNT_GLOBAL
9061,INSTITUTO AGRICOLA,0,0,SANTANDER,0.0,1.3636363636363635,5.090909090909091,0.2727272727272727,0.3181818181818182,4.363636363636363,5.318181818181818,23.181818181818183,0.45454545454545453,0.5,0.5,262.27272727272725
9062,INSTITUTO AGRICOLA,0,1,SANTANDER,0.0,1.6470588235294117,4.0588235294117645,0.4117647058823529,0.47058823529411764,3.5294117647058822,7.235294117647059,19.705882352941178,0.5882352941176471,0.6470588235294118,0.17647058823529413,243.1764705882353
9063,INSTITUTO AGRICOLA  DE ALTO JORDAN,0,0,SANTANDER,0.0,1.5,4.333333333333333,0.16666666666666666,0.4166666666666667,4.5,5.25,32.916666666666664,0.16666666666666666,0.3333333333333333,0.75,268.0
9064,INSTITUTO AGRICOLA LA INDIA,0,0,SANTANDER,0.0,2.0,4.166666666666667,0.4166666666666667,0.3333333333333333,2.75,12.0,36.666666666666664,0.5833333333333334,0.25,0.5,248.08333333333334
9065,INSTITUTO AGRICOLA LA MINA,0,0,CESAR,1.0,2.269230769230769,4.3076923076923075,0.5,0.5384615384615384,6.0,6.6923076923076925,34.42307692307692,0.3076923076923077,0.5769230769230769,0.4230769230769231,242.15384615384616
9066,INSTITUTO AGROEPCUARIO GUSTAVO DUARTE ALEMAN,0,0,SANTANDER,0.0,1.5789473684210527,4.368421052631579,0.42105263157894735,0.47368421052631576,4.2631578947368425,7.578947368421052,36.578947368421055,0.47368421052631576,0.7894736842105263,0.2631578947368421,283.7894736842105
9067,INSTITUTO AGROPECUARIO SAN PEDRO DE VIJAGUAL,0,0,SANTANDER,0.0,1.3125,4.375,0.375,0.3125,5.625,9.1875,22.5,0.6875,0.5,0.1875,201.875
9068,INSTITUTO ALTAIR MONTEMARIANO,1,1,BOLIVAR,0.0,2.5,5.0,0.9285714285714286,0.9285714285714286,9.0,11.785714285714286,45.357142857142854,0.8571428571428571,0.7142857142857143,0.21428571428571427,287.7857142857143
9069,INSTITUTO ANDINO,1,1,SANTANDER,0.0,1.4782608695652173,4.391304347826087,0.34782608695652173,0.43478260869565216,4.565217391304348,7.304347826086956,22.82608695652174,0.4782608695652174,0.5652173913043478,0.7391304347826086,219.17391304347825
9070,INSTITUTO ANDINO DE BACHILLERATO Y CAPACITACION,1,1,BOGOTÁ,0.022222222222222223,3.311111111111111,3.4,0.7555555555555555,0.8666666666666667,5.6,11.666666666666666,49.666666666666664,1.0,0.8222222222222222,0.4666666666666667,262.6222222222222
9071,INSTITUTO ANDRES BELLO,1,1,MAGDALENA,0.0,1.9666666666666666,4.533333333333333,0.6,0.4,5.5,7.8,25.333333333333332,0.4666666666666667,0.5333333333333333,0.3333333333333333,188.03333333333333
9072,INSTITUTO ANDRES BELLO COLOMBO AMERICANO,1,1,VALLE,0.0,2.3095238095238093,3.761904761904762,0.5952380952380952,0.6190476190476191,4.071428571428571,11.357142857142858,24.523809523809526,0.9285714285714286,0.5952380952380952,0.38095238095238093,223.5952380952381
9073,INSTITUTO ANGELES DE DIOS,1,1,VALLE,0.0,1.380952380952381,5.190476190476191,0.23809523809523808,0.38095238095238093,3.7142857142857144,10.0,23.095238095238095,0.6666666666666666,0.2857142857142857,0.09523809523809523,254.28571428571428
9074,INSTITUTO ARIANO,1,1,ATLANTICO,0.0,3.450980392156863,4.215686274509804,0.9803921568627451,1.0,6.0588235294117645,13.764705882352942,40.09803921568628,0.9803921568627451,0.9411764705882353,0.0784313725490196,296.3529411764706
9075,INSTITUTO ARIANO,1,1,MAGDALENA,0.0,2.75,2.5,0.625,0.75,8.25,12.75,28.75,0.875,0.625,0.25,255.0
9076,INSTITUTO ARQUIDIOCESANO URBANO Y RURAL -IAUR-,1,1,ANTIOQUIA,0.0,2.2222222222222223,3.2222222222222223,0.7777777777777778,0.7777777777777778,5.666666666666667,14.666666666666666,49.44444444444444,1.0,0.8888888888888888,0.3333333333333333,293.3333333333333
9077,INSTITUTO AYAPEL,1,1,CORDOBA,0.0,1.5625,4.125,0.1875,0.25,4.3125,6.375,12.8125,0.4375,0.375,0.5625,179.875
9078,INSTITUTO BADEL POWELL,1,1,ATLANTICO,0.0,2.0,4.866666666666666,0.6666666666666666,0.6666666666666666,4.8,11.2,24.0,0.8666666666666667,0.7333333333333333,0.13333333333333333,234.46666666666667
9079,INSTITUTO BET - EL,1,1,NARIÑO,0.0,3.0,3.4,0.7,0.9,4.8,6.3,42.5,1.0,0.8,0.5,273.2
9080,INSTITUTO BOLIVARIANO,0,0,SAN ANDRES,0.53125,2.09375,4.125,0.65625,0.5625,3.65625,8.25,29.84375,0.59375,0.46875,0.1875,203.625
9081,INSTITUTO BOLIVARIANO (ANTIGUO MIS PRIMERAS LUCES),1,1,BOLIVAR,0.0,1.78125,4.25,0.875,0.9375,5.90625,9.09375,26.71875,0.78125,0.625,0.09375,309.84375
9082,INSTITUTO BOLIVARIANO ESDISEÑOS,1,1,CUNDINAMARCA,0.007246376811594203,2.2318840579710146,3.7246376811594204,0.34782608695652173,0.41304347826086957,3.1956521739130435,9.565217391304348,27.971014492753625,0.7753623188405797,0.6304347826086957,0.572463768115942,217.92753623188406
9083,INSTITUTO CAMARGO LEON,1,1,BOGOTÁ,0.0,2.8823529411764706,3.823529411764706,0.47058823529411764,0.4117647058823529,3.176470588235294,11.647058823529411,37.05882352941177,1.0,0.7647058823529411,0.7058823529411765,213.94117647058823
9084,INSTITUTO CAMPESTRE SENDEROS  LTDA,1,1,CUNDINAMARCA,0.0,2.75,3.5454545454545454,0.75,0.7954545454545454,4.295454545454546,10.568181818181818,33.06818181818182,0.9545454545454546,0.6363636363636364,0.25,256.1818181818182
9085,INSTITUTO CARL ROS,1,1,BOLIVAR,0.0,2.5,4.285714285714286,0.9285714285714286,0.8571428571428571,4.928571428571429,9.214285714285714,22.857142857142858,0.8571428571428571,0.8571428571428571,0.35714285714285715,196.35714285714286
